ID,アカウント種別,アカウント作成日,アクティブ日数,投稿されたメッセージ数,チャンネルに投稿されたメッセージ数,追加されたリアクション数
1,シングルチャンネルゲスト,2020/05/07,0,0,0,0
2,シングルチャンネルゲスト,2020/03/10,0,0,0,0
3,メンバー,2020/05/29,0,0,0,0
4,メンバー,2020/06/28,0,0,0,0
4,シングルチャンネルゲスト,2020/04/24,0,0,0,0
5,シングルチャンネルゲスト,2021/01/12,2,0,0,0
6,シングルチャンネルゲスト,2020/03/31,2,3,3,0
7,シングルチャンネルゲスト,2021/01/12,2,0,0,0
8,シングルチャンネルゲスト,2020/02/21,2,3,3,0
9,シングルチャンネルゲスト,2021/01/12,3,0,0,0
10,シングルチャンネルゲスト,2020/03/24,3,0,0,0
11,メンバー,2020/03/10,4,0,0,0
12,シングルチャンネルゲスト,2020/09/08,4,3,0,0
13,シングルチャンネルゲスト,2020/02/24,4,5,0,0
14,シングルチャンネルゲスト,2020/09/11,4,0,0,2
15,メンバー,2020/06/15,6,9,0,0
16,メンバー,2020/07/16,7,2,0,4
17,メンバー,2021/06/17,7,5,0,2
18,メンバー,2021/05/06,7,0,0,0
19,メンバー,2021/04/30,8,3,2,0
20,メンバー,2020/03/31,8,8,3,0
21,シングルチャンネルゲスト,2021/06/11,9,2,0,5
22,メンバー,2020/03/10,9,11,1,0
23,シングルチャンネルゲスト,2020/09/03,10,19,8,11
24,メンバー,2020/05/09,11,1,1,0
25,メンバー,2020/01/07,13,15,0,2
26,メンバー,2021/04/30,14,207,16,43
27,メンバー,2021/05/07,14,11,11,3
28,メンバー,2020/08/17,14,4,2,2
29,シングルチャンネルゲスト,2020/03/25,15,27,0,0
30,メンバー,2021/05/06,15,17,7,0
31,オーナー,2020/01/07,15,211,47,107
32,メンバー,2020/08/05,17,79,34,23
33,メンバー,2020/04/02,19,22,7,27
34,メンバー,2021/06/01,20,30,2,9
35,管理者,2020/03/30,23,518,25,64
36,メンバー,2020/01/07,24,80,23,63
37,メンバー,2020/05/29,26,47,29,11
38,オーナー,2020/01/07,29,425,96,23
